Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Kanglung,78955.68,78.96
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Pemagatshel,78370.88,78.37
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Lhuntse,80354.39,80.35
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Jomotsangkha,77893.8,77.89
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Autsho,79996.1,80
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Doksum,79041.1,79.04
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Bhangtar,77658.07,77.66
Eastern Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Rangjung,79042.62,79.04
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Samdrup Jongkhar,78343.51,78.34
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Wamrong,80030.16,80.03
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Trashigang,80089.8,80.09
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Trashiyangtse,81191.36,81.19
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Mongar,81273.67,81.27
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Gyelposing,81098.56,81.1
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Kanglung,80450.04,80.45
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Pemagatshel,79838.23,79.84
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Lhuntse,81733.78,81.73
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Jomotsangkha,79189.24,79.19
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Autsho,81342.4,81.34
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Doksum,80398.98,80.4
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Bhangtar,78951.43,78.95
Eastern Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-02-01,Rangjung,80430.28,80.43
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Gelephu Forest Checkpost,92047.1,92.05
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Sarpang,92468.09,92.47
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Dagapela,94064.34,94.06
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Tsirang,93627.67,93.63
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Zhemgang,94113.78,94.11
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Trongsa,95061.28,95.06
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Bumthang,96146.7,96.15
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Dagana,94620.26,94.62
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Lhamoizingkha,93059.59,93.06
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Dangdung,93802.77,93.8
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Panbang,93495.38,93.5
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Tingtibi,93106.01,93.11
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Gelephu Gate,92047.1,92.05
Central Region,MS (in KL),Indian Oil Corporation Limited,2022-04-01,Gelephu Town,92047.1,92.05
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Nganglam,76277.17,76.28
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Samdrup Jongkhar Gate,76492.57,76.49
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Nganglam Potonala,76277.17,76.28
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Wamrong,77942.91,77.94
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Trashigang,78198.45,78.2
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Trashiyangtse,79117.59,79.12
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Mongar,79273.14,79.27
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Gyelposing,79244.53,79.24
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Kanglung,78394.51,78.39
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Pemagatshel,77810.2,77.81
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Lhuntse,79795.27,79.8
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Jomotsangkha,76492.57,76.49
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Autsho,79437.57,79.44
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Doksum,78482.37,78.48
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Bhangtar,77100.49,77.1
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Rangjung,78483.36,78.48
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-02-01,Samdrup Jongkhar Upper Town,76492.57,76.49
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Nganglam,77568.64,77.57
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Samdrup Jongkhar Gate,77784.57,77.78
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Nganglam Potonala,77568.64,77.57
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Wamrong,79465.42,79.47
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Trashigang,79529.87,79.53
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Trashiyangtse,80626.95,80.63
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Mongar,80711.06,80.71
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Gyelposing,80539.55,80.54
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Kanglung,79886.08,79.89
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Pemagatshel,79274.94,79.27
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Lhuntse,81172.69,81.17
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Jomotsangkha,77784.57,77.78
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Autsho,80782.13,80.78
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Doksum,79838.43,79.84
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Bhangtar,78392.49,78.39
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Rangjung,79868.98,79.87
Eastern Region,MS (in KL),Indian Oil Corporation Limited,2022-02-01,Samdrup Jongkhar Upper Town,77784.57,77.78
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Phuentsholing,70286.1,70.29
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Rinchending,70366.56,70.37
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Pasakha,70420.2,70.42
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Chimakothi,71747.67,71.75
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Lungtenzampa,72207.62,72.21
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Paro Town,72204.54,72.2
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Haa,72948.73,72.95
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Bajo Town,72443.74,72.44
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Beychu,72667.24,72.67
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Samtse Town,69790.23,69.79
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Sipsoo,71439.78,71.44
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Gomtu,69848.56,69.85
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Gedu,71338.59,71.34
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Khuruthang,72420.62,72.42
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Gasa,73731.44,73.73
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Motithang,72207.62,72.21
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Olakha,72207.62,72.21
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Paro NIE Bridge,72204.54,72.2
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Langlitsawa,72667.24,72.67
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Wangdue Zero Point,72443.74,72.44
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Phuentsholing Main gate,70286.1,70.29
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Phuentsholing,74461.88,74.46
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Rinchending,74542.34,74.54
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Pasakha,74595.98,74.6
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Chimakothi,76209.02,76.21
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Lungtenzampa,76649.98,76.65
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Paro Town,76670.49,76.67
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Haa,77519.93,77.52
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Bajo Town,76754.39,76.75
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Beychu,76977.89,76.98
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Samtse Town,73964.79,73.96
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Sipsoo,75647.48,75.65
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Gomtu,74023.27,74.02
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Gedu,75805.11,75.81
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Khuruthang,76724.66,76.72
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Gasa,78279.92,78.28
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Motithang,76649.98,76.65
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Olakha,76649.98,76.65
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Paro NIE Bridge,76670.49,76.67
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Langlitsawa,76977.89,76.98
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Wangdue Zero Point,76754.39,76.75
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-16,Phuentsholing Main gate,74461.88,74.46
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Lobesa,72389.34,72.39
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Phuentsholing,70320.95,70.32
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Rinchending,70401.41,70.4
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Pasakha,70455.05,70.46
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Chimakothi,71782.83,71.78
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Chubachu,72242.75,72.24
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Paro Shaba,72239.7,72.24
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Haa,72984,72.98
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Wangdue Zero Point,72478.74,72.48
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Beychu,72702.24,72.7
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Samtse Checkpost,69825.09,69.83
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Sipsoo,71474.67,71.47
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Pagli,69883.42,69.88
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Gedu,71373.75,71.37
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Mitsina,72389.34,72.39
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Khuruthang,72455.61,72.46
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Gasa,73766.69,73.77
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Dorokha,71150.38,71.15
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Langdru (Khasadrapchu),72090.77,72.09
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Chanzamtok,72242.75,72.24
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Gomtu Phuentshopelri,69883.42,69.88
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Motithang,72242.75,72.24
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Lungtenzampa,72242.75,72.24
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Olakha,72242.75,72.24
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Samtse Town,69825.09,69.83
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Langlitsawa,72702.24,72.7
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Gomtu,69883.42,69.88
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Phuentsholing Truck Parking,70320.95,70.32
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Phuentsholing Dungkhag Office,70320.95,70.32
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Phuentsholing Near MDP,70320.95,70.32
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Lobesa,72389.34,72.39
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Phuentsholing,70320.95,70.32
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Rinchending,70401.41,70.4
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Pasakha,70455.05,70.46
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Chimakothi,71782.83,71.78
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Chubachu,72242.75,72.24
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Paro Shaba,72239.7,72.24
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Haa,72984,72.98
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Wangdue Zero Point,72478.74,72.48
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Beychu,72702.24,72.7
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Samtse Checkpost,69825.09,69.83
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Sipsoo,71474.67,71.47
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Pagli,69883.42,69.88
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Gedu,71373.75,71.37
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Mitsina,72389.34,72.39
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Khuruthang,72455.61,72.46
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Gasa,73766.69,73.77
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Dorokha,71150.38,71.15
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Langdru (Khasadrapchu),72090.77,72.09
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Chanzamtok,72242.75,72.24
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Gomtu Phuentshopelri,69883.42,69.88
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Motithang,72242.75,72.24
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Lungtenzampa,72242.75,72.24
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Olakha,72242.75,72.24
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Samtse Town,69825.09,69.83
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Langlitsawa,72702.24,72.7
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Gomtu,69883.42,69.88
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Phuentsholing Truck Parking,70320.95,70.32
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Phuentsholing Dungkhag Office,70320.95,70.32
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-16,Phuentsholing Near MDP,70320.95,70.32
Western Region,HSD (in KL),Hindustan Petroleum Corporation Limited,2022-01-16,Ramtokto,72144.41,72.14
Western Region,HSD (in KL),Hindustan Petroleum Corporation Limited,2022-01-16,"Chamkuna LAP,Phuntsholing",70320.95,70.32
Western Region,HSD (in KL),Hindustan Petroleum Corporation Limited,2022-01-16,Rinchending,53883.58,49.74
Western Region,HSD (in KL),Hindustan Petroleum Corporation Limited,2022-01-16,Pasakha,53937.22,49.8
